Gene_ID,Gene_Name,zygote,cleavage_2_cell,blastula_128_cell,blastula_1k_cell,blastula_dome,gastrula_50__epiboly,gastrula_shield,gastrula_75__epiboly,segmentation_1_4_somites,segmentation_14_19_somites,segmentation_20_25_somites,pharyngula_prim_5,pharyngula_prim_15,pharyngula_prim_25,hatching_long_pec,larval_protruding_mouth,larval_day_4,larval_day_5
ENSDARG00000054373,b3gnt3.2,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.6,0.4,0.8,0.4,0.3,0.7,0.4,0.4,0.9
ENSDARG00000093521,b3gnt3.3,NA,NA,NA,1,2,5,6,6,7,5,6,6,7,3,5,2,2,2
ENSDARG00000058100,b3gnt3.4,NA,NA,NA,NA,0.3,NA,0.3,0.3,0.3,0.5,1,2,1,1,2,2,4,3
ENSDARG00000018971,b3gnt5a,NA,NA,NA,NA,2,68,62,41,3,2,6,8,10,10,14,15,14,14
ENSDARG00000004396,b3gnt5b,3,4,34,31,11,2,2,7,6,3,5,4,3,1,0.6,3,3,4
ENSDARG00000038489,b3gnt7,NA,NA,NA,NA,NA,NA,NA,0.2,11,8,6,4,2,2,2,5,7,6
ENSDARG00000053133,b3gnt7l,0.3,0.3,1,1,0.8,0.5,0.2,1,27,18,10,5,5,5,6,11,7,6
ENSDARG00000041616,b3gnt9,NA,0.3,0.5,0.6,0.6,NA,NA,0.6,3,2,2,2,2,2,2,1,2,0.4
ENSDARG00000043431,b3gntl1,1,4,5,3,3,3,3,4,4,3,2,1,1,0.8,2,1,1,1
ENSDARG00000061520,b4galnt1a,NA,0.4,1,1,NA,NA,NA,NA,0.2,NA,0.5,0.5,0.9,0.2,0.7,0.8,2,1
ENSDARG00000077352,b4galnt1b,0.1,0.3,0.3,0.5,0.7,0.1,0.1,0.1,0.6,0.4,0.8,1,1,2,2,3,3,3
ENSDARG00000094579,b4galnt2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA
ENSDARG00000070605,b4galnt2.2,3,2,3,3,2,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000078749,b4galnt3a,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.3,0.4,0.3,NA,NA,0.4,0.2,0.7
ENSDARG00000058939,b4galnt3b,4,4,11,10,4,0.5,0.9,2,5,3,3,3,3,2,2,2,3,2
ENSDARG00000046150,b4galnt4a,NA,NA,NA,0.1,NA,0.1,NA,NA,0.1,NA,0.4,0.8,0.9,1,1,2,3,2
ENSDARG00000076701,b4galnt4b,0.2,0.4,0.4,0.1,0.1,NA,NA,NA,NA,0.2,0.1,0.1,0.1,0.6,0.9,2,2,2
ENSDARG00000002634,b4galt1,NA,NA,NA,NA,0.4,10,11,13,6,4,5,6,7,4,10,11,8,7
ENSDARG00000104404,b4galt1l,4,6,33,37,45,37,30,30,29,17,19,24,20,10,17,15,17,14
ENSDARG00000077994,b4galt2,0.4,0.9,1,2,2,0.6,NA,NA,NA,0.2,0.2,0.9,0.9,2,2,2,3,3
ENSDARG00000062329,b4galt3,3,6,9,8,5,2,0.5,1,2,2,1,1,1,2,2,3,3,4
ENSDARG00000104042,b4galt4,0.2,2,3,2,2,2,3,7,8,3,5,5,5,3,5,8,10,7
ENSDARG00000037815,b4galt5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.4
ENSDARG00000010301,b4galt6,21,47,40,39,37,35,29,25,20,16,15,10,9,10,9,11,10,9
ENSDARG00000021899,b4galt7,17,26,32,31,16,7,6,7,9,9,7,5,4,5,4,3,2,2
ENSDARG00000077583,b4gat1,NA,0.2,0.7,0.7,2,2,2,3,4,3,4,3,3,4,3,3,3,3
ENSDARG00000011727,b9d1,2,2,0.7,0.8,1,1,2,8,18,15,12,9,8,9,10,8,7,6
ENSDARG00000017385,b9d2,2,3,5,5,3,4,6,8,7,7,6,3,2,5,3,2,1,2
ENSDARG00000077775,baalca,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,0.8,2,2,3,3
ENSDARG00000089549,baalcb,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,2,1,0.6,2,2,3,4,5
ENSDARG00000077526,babam1,5,5,11,10,9,8,9,11,12,12,12,12,11,10,9,7,7,6
ENSDARG00000038863,babam2,5,4,4,3,2,2,1,1,4,6,6,6,5,4,5,4,5,4
ENSDARG00000101716,bace1,NA,NA,NA,NA,NA,NA,0.7,NA,4,4,3,6,10,13,16,24,21,17
ENSDARG00000044781,bace2,27,33,39,38,28,7,2,0.7,0.3,0.3,4,8,10,10,12,10,11,7
ENSDARG00000062553,bach1a,0.1,1,7,5,3,0.6,0.4,0.4,0.9,0.9,1,1,2,2,1,1,2,2
