Gene_ID,Gene_Name,zygote,cleavage_2_cell,blastula_128_cell,blastula_1k_cell,blastula_dome,gastrula_50__epiboly,gastrula_shield,gastrula_75__epiboly,segmentation_1_4_somites,segmentation_14_19_somites,segmentation_20_25_somites,pharyngula_prim_5,pharyngula_prim_15,pharyngula_prim_25,hatching_long_pec,larval_protruding_mouth,larval_day_4,larval_day_5
ENSDARG00000074221,ABCA7,3,3,1,1,0.5,0.2,0.1,0.2,0.2,0.4,0.4,0.1,0.3,0.3,0.5,2,3,3
ENSDARG00000059587,ABR,2,5,12,11,7,3,1,0.5,2,1,3,4,4,5,7,6,6,6
ENSDARG00000056478,ACAP2,NA,NA,NA,NA,NA,NA,NA,0.1,0.6,0.5,0.9,1,1,3,4,4,5,4
ENSDARG00000024602,ACBD3,6,4,4,4,14,35,29,29,13,5,5,5,4,2,3,4,4,3
ENSDARG00000054534,ACOT12,0.2,0.5,2,2,2,2,1,2,2,3,2,0.9,1,0.9,0.6,0.8,2,3
ENSDARG00000059503,ACSF3,21,24,17,18,7,0.9,0.6,0.2,2,2,2,2,2,2,1,2,4,3
ENSDARG00000057911,ACTC1,0.3,NA,NA,NA,NA,NA,NA,NA,5,13,34,41,67,22,51,58,33,21
ENSDARG00000086172,ACVR1C,NA,0.1,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.6,1
ENSDARG00000116062,ADAM12,NA,0.2,1,0.4,0.9,0.2,NA,NA,NA,NA,0.2,0.3,0.4,NA,NA,0.5,0.3,0.3
ENSDARG00000102478,ADAMTS7,NA,NA,NA,NA,NA,NA,0.1,NA,0.5,0.5,1,1,1,1,0.9,0.8,1,0.4
ENSDARG00000090624,ADGRL3,NA,0.4,NA,0.6,NA,NA,NA,NA,0.4,0.6,1,0.8,1,2,3,5,5,5
ENSDARG00000035573,AK6,3,8,11,14,15,31,28,33,33,32,27,19,15,12,11,15,17,15
ENSDARG00000095161,AL590134.1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.6,NA,NA,0.6,NA,0.6,NA,NA
ENSDARG00000095368,AL590146.1,NA,2,NA,3,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000012581,AL590149.1,NA,NA,NA,0.1,0.2,0.4,0.2,0.5,2,1,1,1,1,2,2,4,4,6
ENSDARG00000092341,AL590150.2,NA,NA,NA,NA,NA,0.4,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000053570,AL590151.1,NA,NA,NA,NA,0.3,1,1,2,1,0.7,1,0.5,0.7,NA,0.3,NA,0.8,1
ENSDARG00000105320,AL590151.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,1
ENSDARG00000117804,AL627126.1,0.6,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000100324,AL627305.1,NA,NA,NA,NA,NA,NA,0.2,0.3,0.1,0.3,0.1,0.4,0.2,0.2,0.4,0.6,0.8,1
ENSDARG00000102019,AL627305.3,NA,NA,NA,NA,NA,3,2,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA
ENSDARG00000102561,AL645691.1,NA,NA,NA,NA,NA,1,1,0.9,0.4,NA,NA,0.4,NA,NA,NA,NA,NA,NA
ENSDARG00000102716,AL645691.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1
ENSDARG00000103788,AL645792.2,NA,NA,NA,NA,NA,0.3,NA,0.3,NA,NA,NA,0.4,NA,0.3,NA,NA,NA,NA
ENSDARG00000096717,AL732488.2,1,2,2,2,3,3,3,4,3,2,1,2,2,2,3,7,7,5
ENSDARG00000102957,AL732567.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ENSDARG00000105823,AL772146.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0.8,0.8,NA,NA,NA,NA
ENSDARG00000097343,AL772300.1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.7,0.8,1,3,2,2,2,0.8,0.9
ENSDARG00000097492,AL772314.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2,2,3,5,19,16,16
ENSDARG00000117427,AL772373.1,NA,NA,NA,NA,0.7,2,2,4,6,8,6,4,5,4,4,4,3,5
ENSDARG00000097122,AL772382.1,NA,NA,NA,NA,4,5,5,3,2,0.7,0.9,0.7,0.5,NA,NA,NA,NA,NA
ENSDARG00000098223,AL773558.1,NA,NA,NA,NA,0.3,0.3,0.5,1,0.7,1,0.3,0.8,0.6,1,0.4,0.8,0.7,0.4
ENSDARG00000117732,AL805905.2,0.2,1,1,2,0.9,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000096836,AL807792.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3
ENSDARG00000097262,AL808129.1,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0.2,0.3,0.9,2,2,6,7,10
ENSDARG00000117226,AL831726.4,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000039423,AL831745.1,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.2,0.3,0.2,NA,NA,0.2,4,17,15
ENSDARG00000096811,AL833789.1,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000098608,AL840638.1,NA,NA,NA,NA,0.8,4,8,9,9,7,8,5,8,10,8,12,10,13
ENSDARG00000114350,AL840638.3,NA,NA,NA,NA,NA,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000096964,AL844141.1,0.2,0.2,0.4,0.5,0.5,0.2,0.2,0.4,0.6,0.8,0.2,0.2,NA,NA,NA,NA,NA,0.3
ENSDARG00000100356,AL844192.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.7,NA,NA
ENSDARG00000111211,AL844518.1,3,3,3,3,2,0.7,0.6,0.4,0.6,0.7,0.7,0.1,0.1,0.3,NA,NA,0.3,0.5
ENSDARG00000096435,AL845295.1,NA,NA,NA,NA,2,0.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000023609,AL845324.1,1,0.4,1,0.8,0.4,0.2,NA,0.3,0.6,0.9,1,0.7,0.7,0.4,1,4,4,4
ENSDARG00000093205,AL845362.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA
ENSDARG00000096673,AL845365.1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000095523,AL845369.2,0.9,2,2,1,2,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000083738,AL845550.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA
ENSDARG00000096599,AL928650.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4,0.4,0.4,1
ENSDARG00000113858,AL928650.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA
ENSDARG00000097119,AL928657.1,NA,NA,NA,NA,1,3,2,0.4,1,1,0.8,0.5,0.9,0.7,1,3,2,2
ENSDARG00000095907,AL928685.2,NA,NA,NA,NA,0.1,0.3,0.2,NA,NA,0.4,NA,0.1,0.2,0.2,0.3,0.2,0.2,0.2
ENSDARG00000098039,AL928707.2,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000117700,AL928707.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000094456,AL928824.1,NA,NA,NA,NA,0.4,0.5,1,8,3,2,0.8,0.1,NA,NA,NA,NA,NA,NA
ENSDARG00000105454,AL928854.1,NA,NA,NA,NA,2,2,1,1,0.6,0.6,0.3,NA,NA,NA,NA,0.4,NA,NA
ENSDARG00000117398,AL928866.2,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000100960,AL928901.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,0.9,1,0.5,0.6,NA,NA,NA
ENSDARG00000097636,AL928908.3,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.6,0.6
ENSDARG00000096778,AL928920.3,NA,NA,NA,NA,0.5,1,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000094655,AL928977.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA
ENSDARG00000074868,AL929017.1,3,4,15,16,8,12,12,11,5,4,5,4,6,5,4,3,3,4
ENSDARG00000095449,AL929017.2,NA,NA,1,0.8,0.8,0.8,NA,NA,0.7,0.7,NA,NA,NA,2,0.9,2,0.8,NA
ENSDARG00000094960,AL929032.1,NA,0.8,NA,0.9,2,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000117298,AL929048.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.8,0.6,0.5
ENSDARG00000103165,AL929057.1,NA,NA,NA,NA,NA,0.2,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000092980,AL929058.1,2,1,5,4,3,0.6,NA,NA,NA,NA,0.8,3,3,3,4,10,8,7
ENSDARG00000105194,AL929105.1,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000082321,AL929108.1,NA,NA,NA,NA,NA,7,6,2,NA,6,4,2,NA,3,NA,NA,NA,NA
ENSDARG00000095920,AL929171.1,NA,NA,2,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000106684,AL929192.1,2,2,1,2,0.7,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000105788,AL929208.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,NA,NA,NA,NA,NA,0.6
ENSDARG00000094943,AL929210.1,NA,NA,0.6,1,0.5,0.6,0.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000117295,AL929210.2,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.2,NA,NA,NA,NA,NA,NA,0.3
ENSDARG00000117377,AL929216.1,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000059891,AL929217.1,1,2,4,4,3,2,0.4,0.7,NA,NA,NA,NA,NA,NA,0.2,0.9,1,2
ENSDARG00000103323,AL929220.1,NA,0.5,0.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000096994,AL929222.1,NA,NA,0.3,0.2,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000097738,AL929222.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,2,3,4,6,3,2
ENSDARG00000094104,AL929237.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,4
ENSDARG00000096676,AL929237.3,5,6,5,4,3,0.7,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000096290,AL929243.1,0.1,0.4,0.8,0.9,0.7,0.5,0.4,0.6,0.3,0.4,0.5,0.4,0.8,0.7,0.8,1,1,0.9
ENSDARG00000110179,AL929305.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,2,3,5
ENSDARG00000105542,AL929307.1,NA,NA,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000092557,AL929315.1,NA,NA,NA,NA,NA,0.7,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000111496,AL929334.1,4,4,4,7,4,NA,NA,NA,2,2,3,4,5,5,4,4,5,7
ENSDARG00000096530,AL929396.1,1,3,5,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,0.6,0.6
ENSDARG00000083171,AL929434.2,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000095483,AL929457.1,0.4,0.2,0.2,0.8,0.2,0.1,0.1,0.3,0.9,0.1,0.4,0.1,0.1,0.1,0.1,0.1,NA,0.1
ENSDARG00000093575,AL929493.1,NA,1,2,2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000117535,AL929493.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.4,1,NA,0.1,NA,NA
ENSDARG00000113274,AL929536.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,4,12,10
ENSDARG00000115762,AL929536.5,25,22,44,34,29,17,15,16,12,11,13,19,11,11,11,11,11,11
ENSDARG00000117000,AL929536.6,34,40,61,45,51,27,30,26,18,19,19,20,17,17,15,17,17,9
ENSDARG00000095566,AL929576.1,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000100113,AL935044.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000104428,AL935044.3,NA,NA,NA,NA,NA,0.2,NA,NA,0.2,NA,0.2,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000099693,AL935065.1,NA,NA,NA,NA,9,6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000095204,AL935117.1,NA,NA,NA,NA,NA,1,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000093040,AL935144.1,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000095991,AL935166.1,59,70,62,72,71,39,16,9,5,5,4,4,4,4,7,13,12,17
ENSDARG00000112088,AL935174.3,2,3,6,6,3,5,8,12,15,13,13,9,11,12,12,9,8,7
ENSDARG00000115129,AL935174.4,NA,NA,NA,NA,NA,NA,2,0.8,0.7,0.3,0.4,NA,NA,0.3,0.4,1,1,0.9
ENSDARG00000117464,AL935174.6,218,214,164,118,144,143,143,88,64,52,45,37,32,35,27,19,17,16
ENSDARG00000094023,AL935183.1,52,48,12,30,16,37,25,29,36,28,32,18,20,18,14,18,13,11
ENSDARG00000115978,AL935186.10,1151,1226,6194,5529,1662,1844,4769,3967,4604,1646,3205,1314,719,901,54,18,10,8
ENSDARG00000115988,AL935186.11,8649,7123,11165,8491,4494,2911,8056,7926,9446,2591,5229,1822,1141,1230,207,56,18,19
ENSDARG00000081218,AL935186.2,344,462,452,673,914,334,204,100,51,16,15,10,NA,12,NA,NA,NA,NA
ENSDARG00000097345,AL935186.3,NA,NA,0.3,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000112275,AL935186.7,23,33,40,34,42,40,33,30,39,18,27,26,25,20,10,3,2,2
ENSDARG00000113671,AL935186.9,13,12,93,87,41,27,59,55,63,17,39,15,7,10,6,2,NA,NA
ENSDARG00000110728,AL935195.1,NA,NA,3,2,NA,1,1,1,NA,NA,1,NA,1,1,3,NA,NA,NA
ENSDARG00000092975,AL935198.1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA
ENSDARG00000077746,AL935199.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,3,1,2
ENSDARG00000081799,AL935280.1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000104739,AL935294.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,NA
ENSDARG00000092636,AL935295.1,NA,NA,NA,NA,NA,0.5,0.7,0.6,0.2,NA,0.5,0.2,NA,NA,NA,NA,NA,NA
ENSDARG00000098661,AL935300.3,NA,NA,0.5,0.4,NA,NA,0.5,2,1,NA,1,NA,1,NA,0.5,0.6,2,2
ENSDARG00000103121,AL953841.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000096884,AL953866.1,NA,NA,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000117502,AL953875.1,0.6,2,0.4,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000101745,AL953886.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,4,5,8,15,17,11
ENSDARG00000093393,AL953894.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
ENSDARG00000092472,AL953896.1,NA,NA,0.7,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA
ENSDARG00000113960,AL953907.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.3,0.2
ENSDARG00000105524,AL954129.1,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.4,NA
ENSDARG00000114408,AL954137.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5
ENSDARG00000092288,AL954142.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA
ENSDARG00000094110,AL954145.2,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.6,4,8,5,17,17,11,7
ENSDARG00000038891,AL954146.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4
ENSDARG00000116112,AL954146.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,17,29,29
ENSDARG00000094070,AL954149.1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000094185,AL954149.2,NA,NA,NA,NA,NA,NA,2,0.9,2,2,2,2,2,NA,0.9,2,1,1
ENSDARG00000117407,AL954191.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.4,0.2,0.3,2,4,3
ENSDARG00000097072,AL954322.2,NA,NA,NA,NA,NA,NA,NA,NA,0.8,6,7,6,6,11,7,7,6,6
ENSDARG00000097266,AL954322.3,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000091368,AL954327.1,NA,NA,NA,NA,2,NA,NA,2,7,0.7,2,0.3,0.3,NA,0.3,0.3,0.3,0.6
ENSDARG00000078364,AL954361.1,NA,NA,NA,NA,NA,1,0.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000112809,AL954637.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA
ENSDARG00000092719,AL954655.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,1
ENSDARG00000097918,AL954666.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3
ENSDARG00000097096,AL954669.1,0.6,3,7,8,3,2,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000112674,AL954682.2,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,6,11,9,36,46,34,19
ENSDARG00000092131,AL954694.1,NA,NA,NA,NA,1,0.9,0.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000093270,AL954694.2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000094127,AL954695.3,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000078442,AL954696.1,6,10,12,12,11,8,7,8,12,12,9,6,3,3,2,2,2,3
ENSDARG00000117348,AL954696.2,NA,NA,0.1,NA,0.1,0.1,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000102132,AL954698.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000080531,AL954715.2,NA,NA,NA,NA,5,42,7,12,20,11,5,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000080698,AL954715.3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000082087,AL954715.4,NA,NA,NA,NA,23,34,23,30,27,38,18,14,7,13,7,6,NA,NA
ENSDARG00000099302,AL954741.1,NA,NA,NA,NA,1,4,4,6,4,3,4,3,4,4,4,4,3,4
ENSDARG00000115737,AL954741.2,NA,0.4,2,2,2,5,5,5,4,4,3,2,2,2,2,2,2,3
ENSDARG00000094503,AL954767.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2,2,5,8,8
ENSDARG00000095144,AL954816.1,NA,NA,NA,NA,1,0.3,0.3,0.7,0.3,0.8,0.6,0.3,NA,NA,NA,0.3,0.3,NA
ENSDARG00000097701,AL954831.1,0.2,0.5,0.6,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA
ENSDARG00000097547,AL954861.1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000099370,AL954861.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.6
ENSDARG00000007366,AMDHD1,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.2,1,1,0.2,0.4,2,3,2
ENSDARG00000116302,ANGPTL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.4,NA,1,0.5,2,2,0.6
ENSDARG00000060941,ANKFN1,0.7,1,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.6,0.6,0.6
ENSDARG00000045666,ANKRD50,3,6,13,16,7,4,3,3,4,4,4,5,6,7,6,5,5,4
ENSDARG00000090489,ANKRD66,NA,NA,0.4,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000104834,ANO7,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,1,0.8,1,0.9,1,0.7,0.8,0.7
ENSDARG00000112637,ANOS1,NA,NA,0.3,0.2,0.4,0.2,0.3,0.4,2,1,2,3,1,1,1,2,2,2
ENSDARG00000036809,ANPEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.5,1.25,1.25,2.45,4,4.5,4
ENSDARG00000098990,AP1S2,0.7,6,8,8,10,10,10,6,1,2,2,2,5,4,7,14,15,10
ENSDARG00000105296,AP3B2,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,3,3,4,9,11,11,11,11
ENSDARG00000090675,APBA3,17,21,41,38,18,4,6,8,9,7,8,4,4,4,4,3,3,2
ENSDARG00000098203,APCDD1,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSDARG00000100359,AREL1,6,8,17,15,13,4,4,5,9,7,7,5,4,6,4,5,4,4
ENSDARG00000113899,ARF5,63,39,29,22,19,12,6,7,9,9,9,8,9,7,6,7,6,5
ENSDARG00000076434,ARHGAP22,NA,NA,NA,NA,NA,0.2,NA,0.2,1,2,2,3,3,4,5,6,6,4
ENSDARG00000102424,ARHGAP44,NA,0.1,NA,0.3,0.1,NA,NA,NA,0.1,NA,0.2,NA,0.1,0.5,0.6,1,1,1
ENSDARG00000101644,ARHGEF17,0.2,0.3,3,4,0.9,0.5,0.9,2,3,2,3,2,2,2,2,4,4,4
ENSDARG00000100606,ARHGEF25,NA,NA,NA,NA,0.2,NA,NA,NA,0.9,1,2,2,2,2,4,4,5,6
ENSDARG00000103770,ARMC6,1,3,2,2,2,3,2,2,6,4,5,3,4,4,3,2,3,3
ENSDARG00000108788,ARSB,6,7,17,17,16,15,13,7,5,3,5,5,5,4,6,4,5,5
ENSDARG00000062530,ASTE1,3,4,5,5,3,1,1,1,1,1,1,1,1,1,1,0.9,1,1
ENSDARG00000103813,ATE1,9,16,27,23,15,5,2,0.7,4,4,5,6,5,6,6,7,7,6
ENSDARG00000002670,ATG14,52,43,31,30,25,11,10,10,12,11,11,8,8,10,8,7,9,10
ENSDARG00000101507,ATG2A,0.5,0.8,3,6,4,4,2,2,3,2,3,4,4,4,4,5,7,7
ENSDARG00000101094,ATP11B,22,20,12,7,6,3,2,3,9,8,8,7,6,7,5,6,6,5
ENSDARG00000114495,ATP8A1,0.4,0.8,2,3,2,0.6,0.1,NA,0.3,0.5,0.7,0.9,0.7,1,1,2,2,1
ENSDARG00000115869,ATP9A,2,2,2,2,2,1,0.8,0.4,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.5,0.4
ENSDARG00000112045,AXL,NA,NA,NA,0.4,0.3,1,2,2,4,6,8,9,9,8,7,5,6,5
ENSDARG00000094253,B3GALT9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA
ENSDARG00000113928,B3GAT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,0.3,1,2,1
ENSDARG00000042329,BCR,0.6,1,5,8,3,0.8,1,2,6,2,2,2,2,2,2,3,3,4
ENSDARG00000113607,BEND4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0.1,0.4
ENSDARG00000063186,BEND7,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,0.1,0.2,0.3,0.2
ENSDARG00000074919,BFSP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,19,39,42,50
ENSDARG00000098215,BICD2,4,8,11,14,14,10,9,2,3,2,4,5,6,8,6,6,6,5
ENSDARG00000086706,BMERB1,NA,0.8,1,2,2,1,2,0.5,2,3,2,2,3,5,9,12,9,8
ENSDARG00000111714,BOLA2,NA,NA,NA,NA,NA,0.2,0.6,1,3,5,4,5,4,5,5,4,3,2
ENSDARG00000055999,BRD8,NA,NA,0.5,0.4,0.3,0.3,NA,NA,NA,0.3,0.6,0.4,0.6,0.7,1,3,2,3
ENSDARG00000061421,BRSK2,0.7,1,2,2,0.5,0.1,NA,NA,0.1,NA,0.2,0.1,0.3,0.5,0.8,2,2,2
ENSDARG00000088631,BX000363.1,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
